id,title,media_type,genres,popularity,vote_average,vote_count,year,category,x,y,z,centroid_x,centroid_y,centroid_z,dist_from_centroid
282750,Fenjan Albalad,tv,"Comedy, Drama, Family",2.3925,9.0,1,2013,egyptian,0.002832186312997414,0.9,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.21897725287544725
69165,Wedding Song,tv,Drama,1.9229,8.8,9,2016,egyptian,0.0020976261160551932,0.8800000000000001,0.00022743353886586475,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1994729915449134
95300,The People of Cairo,tv,Drama,1.9788,7.0,2,2010,egyptian,0.00218506630985645,0.7,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04535958280614298
276514,Shehadat Moamlet Atfal,tv,Comedy,2.1226,1.0,1,2025,egyptian,0.00241000190679063,0.1,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.5867315777439119
212189,The Preacher,tv,Drama,2.388,7.0,1,2013,egyptian,0.002825147299185148,0.7,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04495461894188097
68829,Saturday Night Live Arabia,tv,Comedy,2.1204,4.0,4,2016,egyptian,0.0024065606111490783,0.4,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.28834930968217304
101838,The Ruffian,tv,"Drama, Action & Adventure",2.4368,7.0,3,2020,egyptian,0.002901481493415941,0.7,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04487026745040747
157382,Drug Habit,tv,,2.7166,0.0,0,2016,egyptian,0.0033391517300097096,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864660055445316
105581,Unknown Number,tv,"Crime, Drama",2.0376,7.8,4,2012,egyptian,0.0022770427570033883,0.78,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.10402448983919052
52705,White Abbas in the Black Day,tv,Drama,2.1735,7.111,9,2004,egyptian,0.0024896209741338145,0.7111,0.00022743353886586475,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04980801903912343
119694,Mousa,tv,Drama,2.3683,6.7,3,2021,egyptian,0.0027943320609403405,0.67,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04505627794675626
201739,Women's Jail,tv,Drama,1.8848,0.0,0,2014,egyptian,0.0020380291324446765,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.686522091812484
120177,Amount of Light,tv,,2.1397,5.0,1,2017,egyptian,0.0024367501592772404,0.5,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.19003530024502607
260608,Hakim Basha,tv,Drama,2.4723,7.0,1,2025,egyptian,0.0029570114912682603,0.7,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04486832849477817
202040,El Beit Beity,tv,"Comedy, Sci-Fi & Fantasy, Mystery",2.2775,7.7,7,2022,egyptian,0.0026523004044617334,0.77,0.00017689275245122814,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.09485554910717424
220904,Al Sera Al Helalya,tv,,2.2525,0.0,0,1997,egyptian,0.002613194772171368,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.686496995140285
257812,Teta Zuzu,tv,"Comedy, Drama",1.9481,4.0,4,2024,egyptian,0.002137044593403881,0.4,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.2883773571570118
110473,Jews Alley,tv,,2.1309,5.5,2,2015,egyptian,0.002422984976711032,0.55,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.14175798797439554
242594,Special Case,tv,Drama,2.0195,8.4,8,2024,egyptian,0.002248730279225164,0.8400000000000001,0.00020216314565854644,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.16061072001328322
290083,أخو البنات,tv,Drama,1.8852,0.0,0,1984,egyptian,0.0020386548225613224,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6865220642499191
245594,بنات لالة منانة,tv,Drama,2.3485,7.0,1,2012,egyptian,0.0027633604001663713,0.7,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0449951276183185
246705,El-Moallem,tv,Drama,1.9369,6.5,2,2024,egyptian,0.0021195252701377973,0.65,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.055487003020824766
99698,Evacuation Order,tv,,1.384,10.0,2,2020,egyptian,0.001254665106404079,1.0,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.31782095671797805
89166,Cairo Class,tv,Drama,2.1528,6.5,4,2019,egyptian,0.002457241510597392,0.65,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.05527627470222381
